Song Title,Row Done?,Song FileLinks,Cover Art File Links,Snippet File Links,Studio Session File Links,Era,Date Released,Date Leaked,Date Recorded,Produced by,Features
,,,,,,,,,,,
100 band jugg | hunnid band jugg | hundred band jugg | 100 band jug | hunnid band jug | hundred band jug | im ballin hard,TRUE,https://cdn.discordapp.com/attachments/1016936737261490237/1017716789305679922/Juice_Wrld_makonnen_-_100_band_jugg_v1.2_170_rexjuice2.wav|https://cdn.discordapp.com/attachments/1008460764098609283/1008465365761802260/100_Band_Jugg_feat._iLoveMakonnen.m4a,https://media.discordapp.net/attachments/978161565691953184/997221941926699098/hh_100_Band_Jugg.png,https://cdn.discordapp.com/attachments/978161565691953184/1009275554010239076/vlc-record-2022-05-23-19h44m53s.mp4|https://cdn.discordapp.com/attachments/978161565691953184/1009275557382467594/sgSo8oDysADeA2ua.mp4|https://cdn.discordapp.com/attachments/978161565691953184/1009275558535905320/RPReplay_Final1653362413_1.mov|https://cdn.discordapp.com/attachments/978161565691953184/1009275669060005969/AT-cm_djwXVaXNzmSp14Ly3tgQSQ.mp4|,,JW3,unreleased,"June 5, 2022.","September 23, 2019.",Rex Kudo,iLoveMakonnen
1400 / 999 freestyle | fourteen hundred nine nine nine freestyle | 1400 999 | 1400 / 999 | matt hardy | matt hardy v1 | matt hardy freestyle,TRUE,https://cdn.discordapp.com/attachments/1016936737261490237/1017718566939791381/1400_999_Freestyle.m4a|https://cdn.discordapp.com/attachments/1016936737261490237/1017718605409959966/SY_x_JW_x_TR_-_1400_and_999_Freestyle_142BPM.mp3,https://media.discordapp.net/attachments/1016936737261490237/1017497222608326746/999_x_1400.jpeg|https://media.discordapp.net/attachments/978161565691953184/997361688292634664/hh_9991400unknown.png,https://cdn.discordapp.com/attachments/1016936737261490237/1017496028208967680/1400_999_Freestyle-4.mp4|https://cdn.discordapp.com/attachments/1016936737261490237/1017496029140107345/1400_999_Freestyle.mp4|https://cdn.discordapp.com/attachments/1016936737261490237/1017496029748269166/1400_999_Freestyle-2.mp4|https://cdn.discordapp.com/attachments/1016936737261490237/1017496030142550056/1400_999_Freestyle.mov|https://cdn.discordapp.com/attachments/1016936737261490237/1017496088338514010/1400_999_Freestyle-3.mp4,,WOD,unreleased,"January 23, 2020.","September 9, 2018.",Dez Wright & Oz On The Track,Trippie Redd
150 | mask on my face | one fifty,FALSE,https://cdn.discordapp.com/attachments/1016936737261490237/1018619237872451594/150_Incomplete.mp3,https://media.discordapp.net/attachments/1021247119425798157/1021288987626844160/150_1.jpg?width=532&height=532 | https://media.discordapp.net/attachments/1021247119425798157/1021288987840761956/150_on_my_wrist.jpg?width=532&height=532 | https://media.discordapp.net/attachments/1021247119425798157/1021288988075630642/150.png?width=469&height=469 | https://media.discordapp.net/attachments/1021247119425798157/1021288988537000019/150.jpg?width=469&height=469 ,,,WOD,unreleased,,,,
2019 my year | twenty nineteen my year,FALSE,https://cdn.discordapp.com/attachments/1016936737261490237/1018619371259691129/2019_My_Year.m4a,,,,,,,,,
2020 vision | twenty twenty vision,TRUE,https://cdn.discordapp.com/attachments/1016936737261490237/1017713234108751872/2020_Vision.m4a| https://cdn.discordapp.com/attachments/1016936737261490237/1017713235031490570/2020_Vision_v3_Ft._DaBaby.mp3,https://media.discordapp.net/attachments/1009289022096552037/1018371354380210257/2020vision.png?width=255&height=255,https://cdn.discordapp.com/attachments/1016936737261490237/1017713235820036166/2020_Vision_Snippet.mov,,DRFL,Stem Edit - unreleased,"March 9, 2022.",?,?,
21 minute freestyle | 21 min freestyle | twenty one minute freestyle,FALSE,https://cdn.discordapp.com/attachments/1016936737261490237/1018619528789368963/21_Minute_Freestyle.mp3,,,,,,,,,
24 hours | twenty four hours,FALSE,https://cdn.discordapp.com/attachments/1016936737261490237/1018619692463706192/24_Hours.m4a,,,,,,,,,
27 club | twenty seven club,FALSE,https://cdn.discordapp.com/attachments/1016936737261490237/1018381017163243630/27_Club_Help_Me.m4a,https://media.discordapp.net/attachments/1016936737261490237/1018413597606563840/oOtD2I6Z.png?width=298&height=298 | https://media.discordapp.net/attachments/1016936737261490237/1018414342972112896/EX8BnIbR.jpg?width=298&height=298 | https://media.discordapp.net/attachments/1016936737261490237/1018414705158660096/tO0nRCLJ.jpg?width=298&height=298 | https://media.discordapp.net/attachments/1016936737261490237/1018414809437442098/IS1DXCiT.jpg?width=298&height=298 | https://media.discordapp.net/attachments/1016936737261490237/1018414954426155018/sKt1UK5D.png?width=298&height=298 | https://media.discordapp.net/attachments/1016936737261490237/1018414990690107462/wG9xWQBK.png?width=298&height=298 ,,,,,,,,
2mins in hell | 2 minutes in hell | two mins in hell | two minutes in hell,TRUE,https://cdn.discordapp.com/attachments/1016936737261490237/1017705159670906901/2MININHELL.m4a,,,,JTK,unreleased,"January 16, 2018",2015,J Knight,
